GeneID	pearson_corr	Best.hit.arabi.name	arabi.symbol	arabi.defline
Sobic.001G006700	0.970726255	AT1G32230.1	"ATP8,CEO,CEO1,RCD1"	WWE protein-protein interaction domain protein family
Sobic.001G347500	0.963208941	AT3G50370.1		
Sobic.005G184050	0.961053597			
Sobic.010G105200	0.960848109	AT2G28290.1	"CHR3,SYD"	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Sobic.004G329400	0.960124296	AT5G58160.1		actin binding
Sobic.004G329400	0.960124296	AT2G25050.1		Actin-binding FH2 (Formin Homology) protein
Sobic.001G224600	0.958762321	AT3G04460.1	"APM4,ATPEX12,PEX12"	peroxin-12
Sobic.003G369900	0.958604303	AT1G21790.1		"TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein"
Sobic.006G188700	0.955693469	AT3G61460.1	BRH1	brassinosteroid-responsive RING-H2
Sobic.001G026200	0.952392507	AT5G49580.1		Chaperone DnaJ-domain superfamily protein
Sobic.006G084300	0.952209975	AT1G21730.1		P-loop containing nucleoside triphosphate hydrolases superfamily protein
Sobic.004G093600	0.951357134	AT1G54220.1		"Dihydrolipoamide acetyltransferase, long form protein"
Sobic.001G464200	0.950881194	AT3G28030.1	"UVH3,UVR1"	5\'-3\' exonuclease family protein
Sobic.008G092600	0.950842899	AT1G70320.1	UPL2	ubiquitin-protein ligase 2
Sobic.003G264800	0.949264178	AT1G15060.1		"Uncharacterised conserved protein UCP031088, alpha/beta hydrolase"
Sobic.009G200500	0.948985952	AT3G19510.1	HAT3.1	Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain
Sobic.003G163200	0.947286061	AT3G06400.1	CHR11	chromatin-remodeling protein 11
Sobic.009G162600	0.947129794	AT1G07510.1	ftsh10	FTSH protease 10
Sobic.009G054600	0.946575746	AT1G48030.1	mtLPD1	mitochondrial lipoamide dehydrogenase 1
Sobic.002G276900	0.945919834	AT3G10330.1		Cyclin-like family protein
Sobic.002G405800	0.94587441	AT5G22760.1		PHD finger family protein
Sobic.002G256700	0.945821024	AT1G04860.1	"ATUBP2,UBP2"	ubiquitin-specific protease 2
Sobic.009G064200	0.945798105	AT1G15460.1	"ATBOR4,BOR4"	HCO3- transporter family
Sobic.004G151700	0.94563706	AT2G26430.1	"ATRCY1,RCY1"	arginine-rich cyclin 1
Sobic.004G065100	0.944931832	AT5G25060.1		RNA recognition motif (RRM)-containing protein
Sobic.003G244200	0.944821383	AT4G11150.1	"emb2448,TUF,TUFF,VHA-E1"	vacuolar ATP synthase subunit E1
Sobic.003G446100	0.944440337	AT5G02950.1		Tudor/PWWP/MBT superfamily protein
Sobic.004G311400	0.943944168	AT1G77800.1		PHD finger family protein
Sobic.010G103000	0.943777335	AT3G26850.1		histone-lysine N-methyltransferases
Sobic.010G020300	0.943765214	AT2G45500.1		AAA-type ATPase family protein
Sobic.009G224400	0.943672118	AT5G08680.1		ATP synthase alpha/beta family protein
Sobic.006G262501	0.943393611			
Sobic.003G241700	0.943270877	AT4G27910.1	"ATX4,SDG16"	SET domain protein 16
Sobic.006G281200	0.943260828			
Sobic.003G302900	0.943217383	AT1G29220.1		transcriptional regulator family protein
Sobic.001G446900	0.943108344	AT1G66530.1		"Arginyl-tRNA synthetase, class Ic"
Sobic.004G001500	0.942929457	AT4G38600.1	"KAK,UPL3"	HEAT repeat ;HECT-domain (ubiquitin-transferase)
Sobic.001G041800	0.942871454	AT1G08520.1	"ALB-1V,ALB1,CHLD,PDE166,V157"	ALBINA 1
Sobic.001G263600	0.942691187	AT4G10570.1	UBP9	ubiquitin-specific protease 9
Sobic.004G009600	0.942581534	AT2G46020.2	"ATBRM,BRM,CHA2,CHR2"	"transcription regulatory protein SNF2, putative"
Sobic.004G039200	0.941780646	AT5G64270.1		"splicing factor, putative"
Sobic.005G162600	0.941778532	AT3G43590.1		zinc knuckle (CCHC-type) family protein
Sobic.004G102000	0.941221334			
Sobic.008G038200	0.941139368	AT3G59420.1	"ACR4,CR4"	crinkly4
Sobic.001G041900	0.940691428	AT5G04040.1	SDP1	Patatin-like phospholipase family protein
Sobic.003G117700	0.94060349	AT2G47850.1		Zinc finger C-x8-C-x5-C-x3-H type family protein
Sobic.001G006400	0.940285656	AT5G42960.1		
Sobic.003G409800	0.940194786	AT3G04070.2	"anac047,NAC047"	NAC domain containing protein 47
Sobic.002G233600	0.940095416	AT4G09020.1	"ATISA3,ISA3"	isoamylase 3
Sobic.004G011300	0.939928892	AT1G12800.1		"Nucleic acid-binding, OB-fold-like protein"
Sobic.005G084500	0.939826129	AT3G25470.1		bacterial hemolysin-related
Sobic.007G009700	0.939653572	AT2G02570.4		nucleic acid binding;RNA binding
Sobic.009G255800	0.939473904	AT1G76810.1		eukaryotic translation initiation factor 2 (eIF-2) family protein
Sobic.009G192000	0.939317136	AT1G75510.1		"Transcription initiation factor IIF, beta subunit"
Sobic.002G303300	0.938493331	AT4G11610.1		C2 calcium/lipid-binding plant phosphoribosyltransferase family protein
Sobic.006G027200	0.938481039	AT2G15530.2		RING/U-box superfamily protein
Sobic.002G404700	0.938264529	AT2G13370.1	CHR5	chromatin remodeling 5
Sobic.008G149800	0.938055843	AT1G79000.1	"ATHAC1,ATHPCAT2,HAC1,PCAT2"	histone acetyltransferase of the CBP family 1
Sobic.002G417800	0.937978511	AT3G56310.1		Melibiase family protein
Sobic.003G056100	0.937661755	AT5G43130.1	"TAF4,TAF4B"	TBP-associated factor 4
Sobic.001G113200	0.93730459	AT2G01830.2	"AHK4,ATCRE1,CRE1,WOL,WOL1"	CHASE domain containing histidine kinase protein
