spikeID	attomol	attomol_ul	length	GC	group
SIRV1	1.782	600	NA	NA	SIRV1
SIRV2	1.782	600	NA	NA	SIRV2
SIRV3	1.782	600	NA	NA	SIRV3
SIRV4	1.782	600	NA	NA	SIRV4
SIRV5	1.782	600	NA	NA	SIRV5
SIRV6	1.782	600	NA	NA	SIRV6
SIRV7	1.782	600	NA	NA	SIRV7
ERCC-00130	44.58656918	30000	1073	46.00%	A
ERCC-00004	11.1466423	7500	531	34.70%	A
ERCC-00136	2.786660574	1875	1047	41.70%	A
ERCC-00108	1.393330287	937.5	1030	49.00%	A
ERCC-00116	0.696665143	468.75	1999	50.10%	A
ERCC-00092	0.348332572	234.375	1132	50.20%	A
ERCC-00095	0.174166286	117.1875	535	37.80%	A
ERCC-00131	0.174166286	117.1875	779	47.50%	A
ERCC-00062	0.087083143	58.59375	1031	30.90%	A
ERCC-00019	0.043541571	29.296875	652	48.80%	A
ERCC-00144	0.043541571	29.296875	546	45.60%	A
ERCC-00170	0.021770786	14.6484375	1031	33.90%	A
ERCC-00154	0.010885393	7.32421875	545	50.10%	A
ERCC-00085	0.010885393	7.32421875	852	48.60%	A
ERCC-00028	0.005442696	3.66210938	1144	50.70%	A
ERCC-00033	0.002721348	1.83105469	2036	33.00%	A
ERCC-00134	0.002721348	1.83105469	282	31.90%	A
ERCC-00147	0.001360674	0.91552734	1031	36.60%	A
ERCC-00097	0.000680337	0.45776367	531	36.30%	A
ERCC-00156	0.000680337	0.45776367	502	49.00%	A
ERCC-00123	0.000340169	0.22888184	1030	35.70%	A
ERCC-00017	0.000170084	0.11444092	1144	51.40%	A
ERCC-00083	4.25211E-05	0.02861023	1036	34.80%	A
ERCC-00096	22.29328459	15000	1115	50.90%	B
ERCC-00171	5.573321148	3750	513	47.80%	B
ERCC-00009	1.393330287	937.5	1000	47.30%	B
ERCC-00042	0.696665143	468.75	1031	39.30%	B
ERCC-00060	0.348332572	234.375	531	31.50%	B
ERCC-00035	0.174166286	117.1875	1138	51.30%	B
ERCC-00025	0.087083143	58.59375	2002	50.10%	B
ERCC-00051	0.087083143	58.59375	282	34.80%	B
ERCC-00053	0.043541571	29.296875	1031	31.30%	B
ERCC-00148	0.021770786	14.6484375	502	48.60%	B
ERCC-00126	0.021770786	14.6484375	1132	50.60%	B
ERCC-00034	0.010885393	7.32421875	1027	49.20%	B
ERCC-00150	0.005442696	3.66210938	751	47.00%	B
ERCC-00067	0.005442696	3.66210938	652	47.20%	B
ERCC-00031	0.002721348	1.83105469	1146	47.80%	B
ERCC-00109	0.001360674	0.91552734	544	45.60%	B
ERCC-00073	0.001360674	0.91552734	611	47.10%	B
ERCC-00158	0.000680337	0.45776367	1041	34.60%	B
ERCC-00104	0.000340169	0.22888184	2036	32.90%	B
ERCC-00142	0.000340169	0.22888184	501	49.90%	B
ERCC-00138	0.000170084	0.11444092	1031	33.00%	B
ERCC-00117	8.50421E-05	0.05722046	1144	51.10%	B
ERCC-00075	2.12605E-05	0.01430512	1031	36.40%	B
ERCC-00074	22.29328459	15000	530	34.90%	C
ERCC-00113	5.573321148	3750	848	50.50%	C
ERCC-00145	1.393330287	937.5	1050	44.40%	C
ERCC-00111	0.696665143	468.75	1002	47.10%	C
ERCC-00076	0.348332572	234.375	650	49.70%	C
ERCC-00044	0.174166286	117.1875	1170	50.10%	C
ERCC-00162	0.087083143	58.59375	531	36.30%	C
ERCC-00071	0.087083143	58.59375	650	48.50%	C
ERCC-00084	0.043541571	29.296875	1002	50.30%	C
ERCC-00099	0.021770786	14.6484375	1370	41.60%	C
ERCC-00054	0.021770786	14.6484375	282	37.60%	C
ERCC-00157	0.010885393	7.32421875	1027	50.10%	C
ERCC-00143	0.005442696	3.66210938	792	48.60%	C
ERCC-00039	0.005442696	3.66210938	748	48.90%	C
ERCC-00058	0.002721348	1.83105469	1144	50.20%	C
ERCC-00120	0.001360674	0.91552734	544	48.30%	C
ERCC-00040	0.001360674	0.91552734	752	52.70%	C
ERCC-00164	0.000680337	0.45776367	1030	37.20%	C
ERCC-00024	0.000340169	0.22888184	544	46.30%	C
ERCC-00016	0.000340169	0.22888184	858	48.60%	C
ERCC-00012	0.000170084	0.11444092	1002	50.90%	C
ERCC-00098	8.50421E-05	0.05722046	1151	51.40%	C
ERCC-00057	2.12605E-05	0.01430512	1035	49.90%	C
ERCC-00002	22.29328459	15000	1069	51.40%	D
ERCC-00046	5.573321148	3750	530	35.10%	D
ERCC-00003	1.393330287	937.5	1031	32.80%	D
ERCC-00043	0.696665143	468.75	1031	32.90%	D
ERCC-00022	0.348332572	234.375	759	47.30%	D
ERCC-00112	0.174166286	117.1875	1144	47.10%	D
ERCC-00165	0.087083143	58.59375	880	50.00%	D
ERCC-00079	0.087083143	58.59375	652	49.40%	D
ERCC-00078	0.043541571	29.296875	1001	50.00%	D
ERCC-00163	0.021770786	14.6484375	551	46.60%	D
ERCC-00059	0.021770786	14.6484375	533	48.00%	D
ERCC-00160	0.010885393	7.32421875	751	45.70%	D
ERCC-00014	0.005442696	3.66210938	1977	44.40%	D
ERCC-00077	0.005442696	3.66210938	281	33.50%	D
ERCC-00069	0.002721348	1.83105469	1145	50.20%	D
ERCC-00137	0.001360674	0.91552734	545	49.50%	D
ERCC-00013	0.001360674	0.91552734	816	42.90%	D
ERCC-00168	0.000680337	0.45776367	1032	34.30%	D
ERCC-00041	0.000340169	0.22888184	1143	45.60%	D
ERCC-00081	0.000340169	0.22888184	542	48.70%	D
ERCC-00086	0.000170084	0.11444092	1034	32.60%	D
ERCC-00061	8.50421E-05	0.05722046	1144	50.10%	D
ERCC-00048	2.12605E-05	0.01430512	1000	47.70%	D
